Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No priority to vehicle,1
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Unknown,Employee,5-10yr,Crossing,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Moving Backward,No distancing,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Other,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,No priority to pedestrian,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Other,2
18-30,Employee,Below 1yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Turnover,No distancing,1
31-50,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to vehicle,1
18-30,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,2
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving at high speed,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Driving to the left,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
Over 51,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the right,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Moving Backward,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,No distancing,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Owner,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
31-50,Employee,No Licence,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,No distancing,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
Unknown,Employee,5-10yr,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
18-30,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Overtaking,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Other,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,1
18-30,Owner,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Getting off,Changing lane to the left,1
Unknown,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving to the left,1
31-50,Owner,Above 10yr,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the left,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Moving Backward,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overloading,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Moving Backward,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Changing lane to the right,1
Unknown,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Driving carelessly,1
Unknown,Other,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,U-Turn,Changing lane to the right,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving at high speed,1
Unknown,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Getting off the vehicle improperly,2
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Stopping,Other,2
Unknown,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Overtaking,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Stopping,Driving at high speed,1
Unknown,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,5-10yr,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,2-5yr,Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Getting off,Moving Backward,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Driving at high speed,2
31-50,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
31-50,Other,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
31-50,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Other,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
18-30,Other,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No priority to vehicle,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving carelessly,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Other,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,No priority to pedestrian,1
Over 51,Owner,1-2yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,1
Unknown,Employee,2-5yr,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Changing lane to the right,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Driving carelessly,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,2
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Driving carelessly,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Other,1
31-50,Other,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Stopping,Changing lane to the right,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Changing lane to the right,2
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving at high speed,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Other,1
Over 51,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Entering a junction,Moving Backward,1
Unknown,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
Unknown,Employee,2-5yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Other,Moving Backward,1
18-30,Owner,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
31-50,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,1-2yr,No junction,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Overtaking,No distancing,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,No priority to vehicle,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Overtaking,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Other,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Owner,1-2yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the left,1
Unknown,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Moving Backward,Changing lane to the right,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Turnover,1
Unknown,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Owner,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,Above 10yr,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Unknown,Employee,5-10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Owner,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to pedestrian,1
Unknown,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,2-5yr,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,1
Unknown,Employee,1-2yr,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No priority to vehicle,1
Unknown,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
Over 51,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving under the influence of drugs,1
Over 51,Employee,5-10yr,Crossing,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Overtaking,1
31-50,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
Unknown,Owner,5-10yr,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Employee,2-5yr,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
31-50,Owner,Below 1yr,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving under the influence of drugs,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Over 51,Employee,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving to the left,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,No Licence,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Getting off the vehicle improperly,1
18-30,Employee,Below 1yr,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
